Pen,Sex,Trt,Rm,Blk,Sample wt,"H2O wt, g",Dilution,Factor,Acetic,Propionic,Isobutyric,Butyric,Isovaleric,Valeric,Total,AA_R,PA_r,IBA_r,BA_r,IVA_r,VA_r
1,G,U,118,1,0.9912,2.4869,0.28,3.51, 63.91 , 27.40 , 1.13 , 8.55 , 3.29 , 3.16 , 107.44 , 59.5 , 25.5 , 1.1 , 8.0 , 3.1 , 2.9 
2,G,U,118,2,1.0029,2.4859,0.29,3.48, 69.45 , 28.97 , 2.62 , 12.82 , 4.52 , 4.91 , 123.30 , 56.3 , 23.5 , 2.1 , 10.4 , 3.7 , 4.0 
3,G,U,118,3,0.9944,2.4897,0.29,3.50, 50.21 , 18.08 , 2.93 , 14.61 , 4.99 , 5.02 , 95.84 , 52.4 , 18.9 , 3.1 , 15.2 , 5.2 , 5.2 
4,G,U,118,4,0.9973,2.4929,0.29,3.50, 68.10 , 18.74 , 2.34 , 11.76 , 3.73 , 3.25 , 107.91 , 63.1 , 17.4 , 2.2 , 10.9 , 3.5 , 3.0 
5,G,U,118,5,1.0111,2.4875,0.29,3.46, 65.76 , 26.77 , 1.29 , 16.66 , 2.44 , 4.44 , 117.36 , 56.0 , 22.8 , 1.1 , 14.2 , 2.1 , 3.8 
6,B,U,118,1,1.0049,2.4923,0.29,3.48, 60.76 , 17.40 , 1.20 , 9.06 , 1.97 , 2.73 , 93.12 , 65.2 , 18.7 , 1.3 , 9.7 , 2.1 , 2.9 
7,B,U,118,2,1.0031,2.4829,0.29,3.48, 69.39 , 30.70 , 1.39 , 17.48 , 2.95 , 5.20 , 127.12 , 54.6 , 24.2 , 1.1 , 13.8 , 2.3 , 4.1 
8,B,U,118,3,1.0226,2.4946,0.29,3.44, 71.67 , 24.67 , 1.20 , 8.31 , 2.45 , 2.90 , 111.18 , 64.5 , 22.2 , 1.1 , 7.5 , 2.2 , 2.6 
9,B,U,118,4,1.0088,2.4983,0.29,3.48, 56.32 , 21.93 , 2.73 , 19.48 , 4.96 , 6.85 , 112.26 , 50.2 , 19.5 , 2.4 , 17.4 , 4.4 , 6.1 
10,B,U,118,5,1.0199,2.1904,0.32,3.15, 46.11 , 13.32 , 3.12 , 6.04 , 5.10 , 3.79 , 77.48 , 59.5 , 17.2 , 4.0 , 7.8 , 6.6 , 4.9 
11,G,U1,138,1,1.0033,2.4811,0.29,3.47, 59.96 , 19.89 , 1.89 , 5.80 , 2.47 , 2.18 , 92.19 , 65.0 , 21.6 , 2.1 , 6.3 , 2.7 , 2.4 
12,B,U1,138,1,1.0205,2.4913,0.29,3.44, 73.21 , 30.01 , 0.95 , 18.98 , 1.91 , 4.29 , 129.35 , 56.6 , 23.2 , 0.7 , 14.7 , 1.5 , 3.3 
13,G,Z,138,1,0.9847,2.4931,0.28,3.53, 41.18 , 9.06 , 1.69 , 6.11 , 3.16 , 1.98 , 63.18 , 65.2 , 14.3 , 2.7 , 9.7 , 5.0 , 3.1 
14,B,Z,138,1,0.9909,2.4583,0.29,3.48, 48.32 , 14.30 , 0.23 , 6.40 , 0.26 , 1.09 , 70.59 , 68.5 , 20.3 , 0.3 , 9.1 , 0.4 , 1.5 
15,G,X,138,1,0.9984,2.4607,0.29,3.46, 55.31 , 13.59 , 1.93 , 7.30 , 3.28 , 2.58 , 84.00 , 65.8 , 16.2 , 2.3 , 8.7 , 3.9 , 3.1 
16,B,X,138,1,1.0178,2.5002,0.29,3.46, 71.89 , 17.61 , 2.13 , 9.99 , 2.84 , 3.68 , 108.14 , 66.5 , 16.3 , 2.0 , 9.2 , 2.6 , 3.4 
17,G,Y,138,1,1.0089,2.5093,0.29,3.49, 39.37 , 8.68 , 0.24 , 4.42 , 1.02 , 1.26 , 54.98 , 71.6 , 15.8 , 0.4 , 8.0 , 1.8 , 2.3 
18,B,Y,138,1,1.0199,2.4731,0.29,3.42, 77.45 , 24.61 , 0.90 , 11.61 , 2.10 , 3.92 , 120.60 , 64.2 , 20.4 , 0.7 , 9.6 , 1.7 , 3.2 
19,G,W,138,1,1.017,2.4842,0.29,3.44, 60.87 , 12.25 , 2.26 , 5.20 , 3.08 , 2.25 , 85.91 , 70.9 , 14.3 , 2.6 , 6.0 , 3.6 , 2.6 
20,B,W,138,1,1.0117,2.4781,0.29,3.45, 79.95 , 28.87 , 0.41 , 10.37 , 0.60 , 2.73 , 122.94 , 65.0 , 23.5 , 0.3 , 8.4 , 0.5 , 2.2 
21,G,Z,138,2,1.0009,2.4661,0.29,3.46, 52.28 , 20.29 , 0.42 , 6.77 , 1.53 , 2.68 , 83.97 , 62.3 , 24.2 , 0.5 , 8.1 , 1.8 , 3.2 
22,B,Z,138,2,1.0128,2.4771,0.29,3.45, 59.52 , 15.48 , 2.35 , 10.52 , 3.79 , 3.56 , 95.22 , 62.5 , 16.3 , 2.5 , 11.0 , 4.0 , 3.7 
23,G,W,138,2,0.9952,2.4555,0.29,3.47, 73.11 , 27.37 , 0.46 , 18.91 , 0.90 , 4.12 , 124.87 , 58.6 , 21.9 , 0.4 , 15.1 , 0.7 , 3.3 
24,B,W,138,2,1.0185,2.46,0.29,3.42, 53.78 , 13.38 , 1.75 , 9.29 , 2.51 , 2.17 , 82.88 , 64.9 , 16.1 , 2.1 , 11.2 , 3.0 , 2.6 
