#SampleID	 BarcodeSequence 	LinkerPrimerSequence	Sample_ID	Pen_ID	Trt	Pig_ID	Gender	Sample_type	Species	Inoc_ID	Diet	Inoc_ID_and_Diet	Average_Fecal_Score_Post_challenge	Necropsy_Colonization	Ileal_Histopath_attachment	Description
ileal1			I1	1	U	949	G	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.43 	-	-	1
ileal2			I2	2	U	541	G	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	2
ileal3			I3	3	U	550	G	Ileal digesta	Porcine	Control	Basal	Control-Basal	 2.00 	-	-	3
ileal4			I4	4	U	500	G	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.14 	-	-	4
ileal5			I5	5	U	486	G	Ileal digesta	Porcine	Control	Basal	Control-Basal	 2.00 	-	-	5
ileal6			I6	6	U	463	B	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	6
ileal7			I7	7	U	467	B	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.14 	-	-	7
ileal8			I8	8	U	442	B	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.29 	-	-	8
ileal9			I9	9	U	420	B	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.00 	-	-	9
ileal10			I10	10	U	423	B	Ileal digesta	Porcine	Control	Basal	Control-Basal	 1.00 	-	-	10
ileal11			I11	11	U1	950	G	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 3.43 	+	+	11
ileal12			I12	12	U1	466	B	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.57 	+	-	12
ileal13			I25	25	U1	483	G	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	-	+	13
ileal14			I26	26	U1	425	B	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	-	-	14
ileal15			I33	33	U1	947	G	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.14 	+	+	15
ileal16			I40	40	U1	543	G	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 3.00 	+	-	16
ileal17			I41	41	U1	462	B	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.71 	+	+	17
ileal18			I46	46	U1	489	G	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.14 	-	+	18
ileal19			I47	47	U1	444	B	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 2.86 	+	+	19
ileal20			I56	56	U1	458	B	Ileal digesta	Porcine	F18 E. coli 	Basal	F18 E. coli -Basal	 1.00 	+	-	20
ileal21			I19	19	W	495	G	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 3.29 	-	-	21
ileal22			I20	20	W	472	B	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.29 	+	+	22
ileal23			I23	23	W	476	G	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.43 	+	-	23
ileal24			I24	24	W	471	B	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.00 	+	-	24
ileal25			I31	31	W	480	G	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.00 	-	-	25
ileal26			I36	36	W	481	G	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.14 	-	-	26
ileal27			I37	37	W	468	B	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.71 	+	+	27
ileal28			I52	52	W	491	G	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.29 	+	-	28
ileal29			I53	53	W	474	B	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 1.86 	+	-	29
ileal30			I58	58	W	455	B	Ileal digesta	Porcine	F18 E. coli 	SF	F18 E. coli -SF	 2.71 	+	-	30
ileal31			I15	15	X	450	B	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.71 	+	-	31
ileal32			I16	16	X	487	G	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.86 	+	-	32
ileal33			I29	29	X	547	G	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.43 	+	+	33
ileal34			I30	30	X	465	B	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.00 	+	+	34
ileal35			I32	32	X	478	G	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 3.00 	+	-	35
ileal36			I38	38	X	482	G	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.71 	-	+	36
ileal37			I39	39	X	473	B	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.14 	+	+	37
ileal38			I50	50	X	494	G	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.29 	+	-	38
ileal39			I51	51	X	454	B	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 1.14 	+	+	39
ileal40			I60	60	X	447	B	Ileal digesta	Porcine	F18 E. coli 	SFE	F18 E. coli -SFE	 2.43 	+	-	40
ileal41			I17	17	Y	492	G	Ileal digesta	Porcine	F18 E. coli 	IF	F18 E. coli -IF	 3.14 	+	-	41
